,0
0,29.119152069091797
1,50.38475036621094
2,41.17615509033203
3,30.21917724609375
4,47.592655181884766
5,62.01241683959961
6,32.13340759277344
7,43.0311393737793
8,67.76042175292969
9,56.00419616699219
10,52.635013580322266
11,31.134017944335938
12,39.514404296875
13,57.766109466552734
14,49.680416107177734
15,65.92576599121094
16,58.27265930175781
17,13.84085464477539
18,31.29787826538086
19,39.64985275268555
20,75.22000122070312
21,37.98735427856445
22,39.627105712890625
23,25.37442398071289
24,32.23793411254883
25,32.73567199707031
26,46.884071350097656
27,44.78275680541992
28,24.450679779052734
29,41.09730911254883
30,24.788000106811523
31,51.33265686035156
32,81.73899841308594
33,59.46998977661133
34,80.39048767089844
35,51.05620574951172
36,39.393096923828125
37,31.191638946533203
